1.000,0.064,0.037,0.043,0.000,0.035,0.041,0.060,0.077,0.066,0.027,0.013,0.046,0.055,0.028,0.028,0.055,0.037,0.057,0.066,0.077,0.077,0.077,0.077,0.049,0.020,0.066,0.013,0.064,1.000,0.028,0.037,0.122,0.035,0.047,0.038,0.016,0.017,0.037,0.013,0.012,0.065,0.064,0.054,1.000,1.000,0.037,0.054,0.009,0.012,0.020,0.126,0.050,0.032,0.028,0.064,0.055,0.036,0.012,0.075
0.064,1.000,0.114,0.042,0.159,0.189,0.065,0.164,0.112,0.148,0.039,0.059,0.086,0.161,0.046,0.046,0.161,0.107,0.052,0.069,0.046,0.046,0.046,0.046,0.144,0.112,0.148,0.059,1.000,0.064,0.046,0.114,0.062,0.075,0.083,0.063,0.111,0.122,0.136,0.059,0.129,0.070,1.000,0.051,0.064,0.064,0.107,0.051,0.006,0.036,0.112,0.058,0.088,0.045,0.046,1.000,0.161,0.016,0.105,0.153
0.037,0.114,1.000,0.091,0.046,0.146,0.102,0.264,0.160,0.278,0.105,0.160,0.056,0.125,0.033,0.033,0.125,0.100,0.050,0.263,0.028,0.028,0.028,0.028,0.065,0.107,0.278,0.160,0.114,0.037,0.033,1.000,0.039,0.078,0.098,0.106,0.164,0.219,0.125,0.160,0.037,0.117,0.114,0.128,0.037,0.037,0.100,0.128,0.035,0.074,0.107,0.135,0.087,0.112,0.033,0.114,0.125,0.061,0.079,0.214
0.043,0.042,0.091,1.000,0.031,0.142,0.118,0.069,0.104,0.117,0.106,0.069,0.052,0.073,0.098,0.098,0.073,0.114,0.088,0.025,0.102,0.102,0.102,0.102,0.079,0.050,0.117,0.069,0.042,0.043,0.098,0.091,0.083,0.064,0.074,0.010,0.039,0.058,0.047,0.069,0.067,0.011,0.042,0.122,0.043,0.043,0.114,0.122,0.074,0.046,0.050,0.109,0.073,0.243,0.098,0.042,0.073,0.055,0.049,0.140
0.000,0.159,0.046,0.031,1.000,0.149,0.041,0.126,0.064,0.060,0.010,0.043,0.048,0.076,0.141,0.141,0.076,0.026,0.066,0.037,0.034,0.034,0.034,0.034,0.012,0.073,0.060,0.043,0.159,0.000,0.141,0.046,0.033,0.023,0.009,0.051,0.069,0.062,0.175,0.043,0.053,0.056,0.159,0.031,0.000,0.000,0.026,0.031,0.000,0.126,0.073,0.065,0.038,0.124,0.141,0.159,0.076,0.012,0.050,0.093
0.035,0.189,0.146,0.142,0.149,1.000,0.073,0.304,0.147,0.221,0.053,0.094,0.101,0.180,0.088,0.088,0.180,0.071,0.148,0.133,0.133,0.133,0.133,0.133,0.098,0.140,0.221,0.094,0.189,0.035,0.088,0.146,0.078,0.084,0.127,0.142,0.142,0.161,0.127,0.094,0.076,0.111,0.189,0.113,0.035,0.035,0.071,0.113,0.010,0.111,0.140,0.085,0.081,0.139,0.088,0.189,0.180,0.042,0.095,0.165
0.041,0.065,0.102,0.118,0.041,0.073,1.000,0.211,0.092,0.097,0.074,0.063,0.020,0.067,0.042,0.042,0.067,0.041,0.076,0.115,0.087,0.087,0.087,0.087,0.097,0.019,0.097,0.063,0.065,0.041,0.042,0.102,0.069,0.071,0.185,0.000,0.018,0.000,0.022,0.063,0.018,0.000,0.065,0.043,0.041,0.041,0.041,0.043,0.052,0.023,0.019,0.082,0.038,0.031,0.042,0.065,0.067,0.226,0.096,0.119
0.060,0.164,0.264,0.069,0.126,0.304,0.211,1.000,0.183,0.356,0.090,0.183,0.096,0.345,0.082,0.082,0.345,0.077,0.170,0.167,0.077,0.077,0.077,0.077,0.108,0.127,0.356,0.183,0.164,0.060,0.082,0.264,0.099,0.090,0.188,0.186,0.174,0.196,0.118,0.183,0.065,0.158,0.164,0.124,0.060,0.060,0.077,0.124,0.015,0.118,0.127,0.106,0.063,0.147,0.082,0.164,0.345,0.098,0.133,0.278
0.077,0.112,0.160,0.104,0.064,0.147,0.092,0.183,1.000,0.274,0.150,0.074,0.044,0.155,0.082,0.082,0.155,0.107,0.082,0.063,0.021,0.021,0.021,0.021,0.053,0.094,0.274,0.074,0.112,0.077,0.082,0.160,0.054,0.127,0.077,0.091,0.932,0.131,0.046,0.074,0.022,0.100,0.112,0.134,0.077,0.077,0.107,0.134,0.074,0.049,0.094,0.134,0.041,0.056,0.082,0.112,0.155,0.016,0.058,0.065
0.066,0.148,0.278,0.117,0.060,0.221,0.097,0.356,0.274,1.000,0.222,0.120,0.047,0.162,0.102,0.102,0.162,0.235,0.161,0.137,0.039,0.039,0.039,0.039,0.090,0.104,1.000,0.120,0.148,0.066,0.102,0.278,0.087,0.291,0.124,0.146,0.278,0.165,0.202,0.120,0.034,0.112,0.148,0.207,0.066,0.066,0.235,0.207,0.114,0.053,0.104,0.180,0.058,0.084,0.102,0.148,0.162,0.042,0.080,0.170
